Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\IoTAdvanced-Mesh-Gateway\SensorBoard\Project Outputs for SensorBoard\Pick Place\Pick Place for PCBSensorboard.csv

========================================================================================================================
File Design Information:

Date:       27/08/21
Time:       17:18
Revision:   15d1ae35ee6548b0c9c132a745bc92fa0cc5eea1
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C12","0.1uF/275VAC","TopLayer","MP2104KGC3XLC","21.2400mm","7.0900mm","90","X2 100nF ±10% 275V 10mm Through Hole,P=10mm Suppression Capacitors RoHS"
"C13","1nF/400VAC","TopLayer","Q12B1D102KN0B0S0N0","24.4400mm","29.4200mm","270","Y1 1nF ±10% 400V 10mm Through Hole,P=10mm Suppression Capacitors RoHS"
"C16","1µF","TopLayer","CAP_POL_1411_3528","77.1300mm","26.6300mm","180","CAP TANT 1UF 10% 35V 1411"
"C15","100µF","TopLayer","CAP_POL_2917_7343","5.4050mm","86.8300mm","180","CAP TANT 100UF 10% 10V 2917"
"C14","100µF","TopLayer","CAP_POL_2917_7343","28.1600mm","82.6200mm","90","CAP TANT 100UF 10% 10V 2917"
"C7","100pF","TopLayer","C0805","42.3000mm","32.2100mm","270","Ceramic Capacitor SMD 0805"
"C6","100pF","TopLayer","C0805","35.0600mm","34.3000mm","90","Ceramic Capacitor SMD 0805"
"C11","1nF/400VAC","TopLayer","Q12B1D102KN0B0S0N0","2.5100mm","29.4100mm","90","Y1 1nF ±10% 400V 10mm Through Hole,P=10mm Suppression Capacitors RoHS"
"C5","0.1uF","TopLayer","C0805","42.8400mm","38.8400mm","90","Ceramic Capacitor SMD 0805"
"C4","0.1uF","TopLayer","C0805","43.1700mm","49.3000mm","90","Ceramic Capacitor SMD 0805"
"C3","1uF","TopLayer","C0805","41.2200mm","53.0600mm","90","Ceramic Capacitor SMD 0805"
"C2","0.1uF","TopLayer","C0805","35.5900mm","57.2400mm","90","Ceramic Capacitor SMD 0805"
"C1","22uF","TopLayer","C0805","37.5400mm","57.2400mm","90","Ceramic Capacitor SMD 0805"
